id,value,color
ALL.America.史蒂夫·迈克康奈尔,1,#CCCCFF
ALL.America.哈丽特·勒纳,2,#CCCCFF
ALL.America.哈珀·李,1,#CCCCFF
ALL.America.唐纳德·卡根,8,#CCCCFF
ALL.America.埃里克·霍弗,1,#CCCCFF
ALL.America.埃里克·马瑟斯,3,#CCCCFF
ALL.America.埃里希·弗罗姆,1,#CCCCFF
ALL.America.塞尔玛·弗雷伯格SelmaH.Fraiberg,2,#CCCCFF
ALL.America.大卫·德沃金、罗伯特·史密斯,1,#CCCCFF
ALL.America.大卫·霍克尼、尼科斯·斯坦戈斯编,1,#CCCCFF
ALL.America.大卫•萨夫、ALL.America.吉儿•萨夫,1,#CCCCFF
ALL.America.威廉·保尔、WilliamBall,1,#CCCCFF
ALL.America.威廉·弗莱明、ALL.America.玛丽·马里安,1,#CCCCFF
ALL.America.威廉厄姆Willingham.D.T.,1,#CCCCFF
ALL.America.孔飞力,2,#CCCCFF
ALL.America.富兰克林·布朗利、明德尔•西托默,2,#CCCCFF
ALL.America.尤金·奥尼尔,1,#CCCCFF
ALL.America.尼克·詹斯著,1,#CCCCFF
ALL.America.尼尔·盖曼NeilGaiman,1,#CCCCFF
ALL.America.崔西Tracy,3,#CCCCFF
ALL.America.巴巴拉·W.塔奇曼,1,#CCCCFF
ALL.America.布兰登·文策尔,1,#CCCCFF
ALL.America.布拉德·菲尔德、ALL.America.杰森·门德尔松,1,#CCCCFF
ALL.America.弗罗姆,1,#CCCCFF
ALL.America.彼得·伯格,1,#CCCCFF
ALL.America.彼得·布朗、ALL.America.佩特·布罗斯科,1,#CCCCFF
ALL.America.彼得·德鲁克,1,#CCCCFF
ALL.America.彼得·格雷,1,#CCCCFF
ALL.America.彼得·海斯勒,1,#CCCCFF
ALL.America.彼得·考夫曼编,9,#CCCCFF
ALL.America.悉达多·穆克吉,2,#CCCCFF
ALL.America.戴维·迈尔斯,1,#CCCCFF
ALL.America.托尼·朱特、ALL.America.蒂莫西·斯奈ALL.Germany.苏光恩,4,#CCCCFF
ALL.America.斯科特·安德森,1,#CCCCFF
ALL.America.斯蒂芬·金,1,#CCCCFF
ALL.America.曼昆,1,#CCCCFF
ALL.America.本·罗宾逊、ALL.America.马库斯·赖利,3,#CCCCFF
ALL.America.本•勒尔著,1,#CCCCFF
ALL.America.李欧·李奥尼文,1,#CCCCFF
ALL.America.杨·T.格罗斯,1,#CCCCFF
ALL.America.欧文·斯通,1,#CCCCFF
ALL.America.沃尔特·艾萨克森,3,#CCCCFF
ALL.America.爱德华·W.萨义ALL.Germany.朱生坚译、胡桑校,1,#CCCCFF
ALL.America.玛•金•罗琳斯,1,#CCCCFF
ALL.America.珍妮特·菲奇,1,#CCCCFF
ALL.America.理查德·A.彼得森,1,#CCCCFF
ALL.America.琼妮•厄尔克森•多田JoniEarecksonTada,1,#CCCCFF
ALL.America.田纳西·威廉斯,1,#CCCCFF
ALL.America.科赫,1,#CCCCFF
ALL.America.简・克莱格海ALL.Germany.罗素菁,1,#CCCCFF
ALL.America.约瑟夫·熊彼特,1,#CCCCFF
ALL.America.约翰.墨菲,2,#CCCCFF
ALL.America.约翰·杜威JohnDewey,2,#CCCCFF
ALL.America.约翰尼·卡什、ALL.America.帕特里克·卡尔,1,#CCCCFF
ALL.America.维吉尼亚•李•伯顿,1,#CCCCFF
ALL.America.罗伯特·奥布赖恩,1,#CCCCFF
ALL.America.罗伯特·所罗门,1,#CCCCFF
ALL.America.罗伯特·波格·哈里森,3,#CCCCFF
ALL.America.罗伯特·诺奇克,1,#CCCCFF
ALL.America.罗伯特·麦基,1,#CCCCFF
ALL.America.罗斯,1,#CCCCFF
ALL.America.肯·威尔伯,1,#CCCCFF
ALL.America.肯•威尔伯,1,#CCCCFF
ALL.America.艾尔·赫维茨,2,#CCCCFF
ALL.America.艾尔弗雷德·D.钱德勒,1,#CCCCFF
ALL.America.艾瑞克•利温、ALL.America.詹姆斯•迪安,1,#CCCCFF
ALL.America.艾萨克·阿西莫夫,1,#CCCCFF
ALL.America.艾诺·洛贝尔,7,#CCCCFF
ALL.America.艾里希·弗洛姆,2,#CCCCFF
ALL.America.苏斯博士,1,#CCCCFF
ALL.America.苏珊·福沃德琼·托雷斯,1,#CCCCFF
ALL.America.莫里斯·克莱因,1,#CCCCFF
ALL.America.莱LayD.C.,4,#CCCCFF
ALL.America.菲利普·津巴多、ALL.America.罗伯特·约翰逊、ALL.America.安·韦伯,1,#CCCCFF
ALL.America.菲利普·科特勒、ALL.America.凯文·莱恩·凯勒,1,#CCCCFF
ALL.America.菲利普·迪克,4,#CCCCFF
ALL.America.詹姆斯・施密特,1,#CCCCFF
ALL.America.詹姆斯·内斯特,1,#CCCCFF
ALL.America.詹姆斯·卡拉特、JamesW.Kalat,1,#CCCCFF
ALL.America.诺尔曼·马尔康姆,1,#CCCCFF
ALL.America.费利克斯•吉尔伯特FelixGilbert,1,#CCCCFF
ALL.America.赖德·温德姆著、ALL.America.克里斯·雷夫等,1,#CCCCFF
ALL.America.道恩·福图普鲁斯,1,#CCCCFF
ALL.America.阿兰·摩尔,1,#CCCCFF
ALL.America.阿图·葛文德AtulGawande,1,#CCCCFF
ALL.America.阿扎尔•纳菲西,3,#CCCCFF
ALL.America.阿瑟·格蒂斯、ALL.America.朱迪丝·格蒂斯、ALL.America.杰尔姆·D.费尔曼,1,#CCCCFF
ALL.America.韦恩·韦登,1,#CCCCFF
ALL.America.马丁•布莱泽,1,#CCCCFF
ALL.America.马克·瑞比托,1,#CCCCFF
ALL.America.马克·盖特雷恩,1,#CCCCFF
ALL.America.高居翰,2,#CCCCFF
ALL.America.鲁道夫·德雷克斯、ALL.America.薇姬·索尔兹,1,#CCCCFF
ALL.America.鲍勃·迪伦,1,#CCCCFF
ALL.America.鲍姆,2,#CCCCFF
ALL.America.麦克劳ALL.Germany.万旻,2,#CCCCFF
ALL.America.麦迪逊,1,#CCCCFF
ALL.America.黄仁宇,1,#CCCCFF
ALL.America.劳伦斯•普林西比，张卜天,1,#CCCCFF
ALL.America.拉塞尔.贝克,1,#CCCCFF
ALL.America.玛格丽特·米切尔,1,#CCCCFF
德国,5,#FF9999
ALL.Finland.托芙·扬松,1,#FF9966
ALL.Russia.A·盖里曼,1,#FF9966
ALL.Russia.Ш.А.阿莫纳什维利Ш.А.Амонашьили,1,#FF9966
ALL.Russia.安德烈·塔可夫斯基,1,#FF9966
ALL.Russia.斯坦尼斯拉夫斯基,1,#FF9966
ALL.Russia.肖斯塔科维奇口述、伏尔科夫记录并整理,1,#FF9966
ALL.Russia.马雅可夫斯基著,1,#FF9966
ALL.Russia.布尔加科夫,1,#FF9966
ALL.England.G.H.Hardy、E.M.Wright,1,#FFCC99
ALL.England.HughJohnson、ALL.England.JancisRobinson,1,#FFCC99
ALL.England.J.F.C富勒,1,#FFCC99
ALL.England.J.K.罗琳,1,#FFCC99
ALL.England.J.R.R.托尔金,5,#FFCC99
ALL.England.J.R.R.托尔金著、ALL.England.克里斯托弗·托尔金编、ALL.England.艾伦·李图,2,#FFCC99
ALL.England.乔•哈利戴,1,#FFCC99
ALL.England.乔治·奥威尔,1,#FFCC99
ALL.England.乔纳森·林恩、ALL.England.安东尼·杰伊编著,12,#FFCC99
ALL.England.亚当·斯密,1,#FFCC99
ALL.England.伊斯特凡•洪特,2,#FFCC99
ALL.England.伦道夫·凯迪克、ALL.England.凯特·格林威,2,#FFCC99
ALL.England.伯林,3,#FFCC99
ALL.England.伯特兰·罗素,1,#FFCC99
ALL.England.凯伦·阿姆斯特朗著,1,#FFCC99
ALL.England.劳伦斯•里斯,1,#FFCC99
ALL.England.吉米·哈利JamesHerriot,1,#FFCC99
ALL.England.哈耶克,1,#FFCC99
ALL.England.基思•罗威KeithLowe,1,#FFCC99
ALL.England.奥斯卡·王尔ALL.Germany.杨烈、黄杲炘,1,#FFCC99
ALL.England.威尔·贡培兹,1,#FFCC99
ALL.England.威廉·莎士比亚,2,#FFCC99
ALL.England.安东尼·布朗,2,#FFCC99
ALL.England.安东尼·布朗文,2,#FFCC99
ALL.England.尼克·莱恩,3,#FFCC99
ALL.England.尼尔·麦格雷戈,1,#FFCC99
ALL.England.山姆·麦克布雷尼文、安妮塔·婕朗图,3,#FFCC99
ALL.England.布莱恩·西布利Brian、Sibely,3,#FFCC99
ALL.England.弗吉尼亚·伍尔夫,1,#FFCC99
ALL.England.弗里德利希・冯・哈耶克,1,#FFCC99
ALL.England.戴维·丹尼尔,1,#FFCC99
ALL.England.柏克,1,#FFCC99
ALL.England.梅兰妮•克莱茵,1,#FFCC99
ALL.England.毛姆,1,#FFCC99
ALL.England.洛克,9,#FFCC99
ALL.England.爱德华·卡尔,2,#FFCC99
ALL.England.王尔ALL.Germany.王林,1,#FFCC99
ALL.England.理查德・奥弗里,1,#FFCC99
ALL.England.理查德·约特,1,#FFCC99
ALL.England.瑞·蒙克,1,#FFCC99
ALL.England.科瓦奇著,3,#FFCC99
ALL.England.简﹒奥斯汀,1,#FFCC99
ALL.England.罗莎蒙德·基德曼·考克斯,1,#FFCC99
ALL.England.肯·福莱特,2,#FFCC99
ALL.England.艾莉森·简,7,#FFCC99
ALL.England.莎士比亚,1,#FFCC99
ALL.England.蒂莫西•高尔斯,2,#FFCC99
ALL.England.西蒙・辛格,1,#FFCC99
ALL.England.贡布里希SirE.H.Gombrich,1,#FFCC99
ALL.England.阿·柯南道尔,4,#FFCC99
ALL.England.阿加莎.克里斯蒂,1,#FFCC99
ALL.England.阿加莎·克里斯蒂,1,#FFCC99
ALL.England.阿瑟·克拉克,5,#FFCC99
ALL.England.马丁·萨利斯伯瑞,3,#FFCC99
ALL.England.马克·索尔兹伯里,2,#FFCC99
ALL.England.安德鲁·朗格,2,#FFCC99
ALL.England.托尔金,1,#FFCC99
