司马迁[西汉]、班固[东汉]、范晔[南朝]、陈寿[西晋]、房玄龄[唐]、梁沈约[南朝]、梁萧子显[南朝]、姚思廉[唐]、魏收[北齐]、李百药[唐]、令狐德棻[唐]、魏征[唐]、李延寿[唐]、刘昫等[后晋]、欧阳修、宋祁[宋]、薛居正[宋]、脱脱[元]、宋濂[明]、张廷玉[清]/许嘉璐/汉语大词典出版社/2010年1月1日/12000.0,9.2,164,,,,,
汪辟疆校录/上海古籍出版社/1978年1月/0.95元,9.2,168,,,,,
黄春华/中国少年儿童出版社/2010-8/19.00元,9.2,170,,,,,
JaneAusten/Simon&Schuster/2004-04-27/25.00元,9.2,190,,,,,
夏济安评注/夏志清校订/外语教学与研究出版社/2014-1-1/45,9.2,205,,,,,
帕特里夏·圣约翰/王培洁/中央广播电视大学出版社/2009-5/22.00元,9.2,205,,,,,
[宋]晏殊晏几道、张草纫笺注/上海古籍出版社/2008-12-01/48.00元,9.2,256,,,,,
(俄)普希金/查良铮/新文艺出版社/1957/0.32,9.2,306,,,,,
鲁迅/当代世界出版社/2006-9/39.80元,9.2,363,,,,,
纳兰性德撰、冯统编校/广东人民出版社/1984年1月/1.30元,9.2,510,,,,,
[战国]鬼谷子原著、[梁]陶弘景旧注、张卫国注译/崇文书局/2010/15.00元,9.2,520,,,,,
张枣/文化艺术出版社/1998-03/10.80,9.2,522,,,,,
[美]克里斯·梅森等/刘媛/新星出版社/2016-7/178.00元,9.2,523,,,,,
[德]康德/邓晓芒/人民出版社/2004-5/18.00元,9.2,618,,,,,
季诺[阿根廷]/当代世界出版社/2008年1月/120.00元,9.2,732,,,,,
顾随/北京大学出版社/2012-6-1/39.00元,9.2,737,,,,,
张爱玲/湖南文艺出版社/2003-4-1/36.00,9.2,1014,,,,,
张爱玲/湖南文艺出版社/2003-4-1/36.00,9.2,1014,,,,,
张爱玲/湖南文艺出版社/2003-4-1/36.00,9.2,1014,,,,,
王世襄/生活·读书·新知三联书店/1999-08/120.00,9.2,1161,,,,,
[俄]亚历山大·索尔仁尼琴/田大畏等/群众出版社/1996-12/96.00元,9.2,1402,,,,,
[俄]亚历山大·索尔仁尼琴/田大畏等/群众出版社/1996-12/96.00元,9.2,1402,,,,,
[明]张岱/夏咸淳、程维荣校注/上海古籍出版社/2001-5/25.00元,9.2,2616,,,,,
