文学,小说,复活节游行,（美）理查德·耶茨、RichardYates/孙仲旭/上海译文出版社/2009年11月/20.00元,8.6,1650\u4eba\u8bc4\u4ef7
文学,小说,风之影,[西]卡洛斯·鲁依斯·萨丰/范湲/人民文学出版社/2006-10/29.90元,8.6,9094\u4eba\u8bc4\u4ef7
文学,小说,岁月如风小少年,曾良君/万榕书业发展有限责任公司/2016-7-1/CNY36.00,8.2,473\u4eba\u8bc4\u4ef7
文学,小说,西线无战事,[德国]埃里希·玛丽亚·雷马克/李清华/译林出版社/2007-8/18.00元,8.9,1654\u4eba\u8bc4\u4ef7
文学,小说,茧,张悦然/人民文学出版社/2016-8-1/45.00元,7.4,2901\u4eba\u8bc4\u4ef7
文学,小说,浮生梦,[英]达芙妮·杜穆里埃/姜秋霞/花山文艺出版社/2016-1-15/39.90,8.2,1859\u4eba\u8bc4\u4ef7
文学,小说,恶心,[法]让-保罗·萨特/杜长有/中国友谊出版公司/1999-3/16.00元,8.6,1934\u4eba\u8bc4\u4ef7
文学,小说,死屋手记,[俄]陀思妥耶夫斯基/曾宪溥、王健夫/人民文学出版社/2011-5/20.00元,9.1,1301\u4eba\u8bc4\u4ef7
文学,小说,收山,常小琥/译林出版社/2015-12/32.8,8.3,1004\u4eba\u8bc4\u4ef7
文学,小说,涅朵奇卡·涅茨瓦诺娃,陀思妥耶夫斯基/陈林、沈序/上海文艺出版社/1959.10/0.64,8.9,538\u4eba\u8bc4\u4ef7
文学,小说,夏日庭院,[日]汤本香树实/金晖/南海出版公司/2016-6-1/35.00,8.6,365\u4eba\u8bc4\u4ef7
文学,小说,球状闪电,刘慈欣/四川科学技术出版社/2005-6/22.00元,8.7,26974\u4eba\u8bc4\u4ef7
文学,小说,临高启明,吹牛者/新知三联书店/2017-1-3/98.00元,8.9,409\u4eba\u8bc4\u4ef7
文学,小说,苦妓回忆录,加西亚·马尔克斯/轩乐/南海出版社/2015-3-1/25.00元,7.8,5052\u4eba\u8bc4\u4ef7
文学,小说,分成两半的子爵,[意大利]伊塔洛•卡尔维诺/吴正仪/译林出版社/2012-4-1/20.00元,8.7,5769\u4eba\u8bc4\u4ef7
文学,小说,神的九十亿个名字,[英]阿瑟·克拉克/邹运旗/江苏文艺出版社/2013-3/28.00元,8.4,2552\u4eba\u8bc4\u4ef7
